time_sec,knee_angle,hip_y,LEFT_HIP_x,LEFT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_KNEE_y_s,RIGHT_KNEE_y_s,LEFT_ANKLE_y_s,RIGHT_ANKLE_y_s,lk_v,rk_v,phase
1.918,99.23349303184108,0.5219091176986694,0.0561124570667743,0.5225818157196045,0.0707233250141143,0.5265383720397949,0.0527816414833068,0.562248170375824,0.0531942024827003,0.5212364196777344,0.0429045110940933,0.5170581340789795,0.0019229667959734,0.5489273071289062,0.0242371894419193,0.5620802044868469,0.0252604149281978,0.5623332262039185,0.0406854413449764,0.5399442315101624,0.045727863907814,0.5426702499389648,0.0599095858633518,0.534678041934967,0.0573085062205791,0.5444775819778442,,,,,,,prep
1.935,146.35566743293325,0.521362841129303,0.0679471716284751,0.5222580432891846,0.074965551495552,0.5330818891525269,0.0549740754067897,0.5688318014144897,0.0609756186604499,0.5204676389694214,0.0536118596792221,0.5360323786735535,0.0375968664884567,0.5648452639579773,0.0399210937321186,0.5595062375068665,0.0392562411725521,0.5589614510536194,0.0444936454296112,0.5619402527809143,0.0495656207203865,0.5557778477668762,0.059177778661251,0.5773705840110779,0.061372522264719,0.5682579278945923,,,,,,,prep
1.951,142.65367334059508,0.5158492028713226,0.0821871906518936,0.5175830125808716,0.0909757539629936,0.5274017453193665,0.0727889388799667,0.5681741237640381,0.0758454129099845,0.5141153931617737,0.0670906752347946,0.5287492275238037,0.0428409241139888,0.5586061477661133,0.054768718779087,0.5585731267929077,0.0508044473826885,0.5569379925727844,0.054464928805828,0.5751321315765381,0.049969095736742,0.5700653195381165,0.0635391473770141,0.5888552069664001,0.0651146844029426,0.588031530380249,0.5234956383705139,0.5195546269416809,0.5630384087562561,0.5429693222045898,,,prep
1.968,163.5589962498043,0.5115614533424377,0.0997161418199539,0.5111863017082214,0.0980957821011543,0.5154209733009338,0.0861654356122016,0.5638753771781921,0.0914583876729011,0.511936604976654,0.0725007578730583,0.507789134979248,0.0371654108166694,0.5149482488632202,0.0694984048604965,0.5577614903450012,0.0714047029614448,0.5575227737426758,0.0671063289046287,0.5762223601341248,0.066913217306137,0.5750397443771362,0.07980827242136,0.5874739289283752,0.0833299532532692,0.5896426439285278,0.5270872831344604,0.5252896070480346,0.5691524386405945,0.5499698519706726,0.0035916447639464666,0.00573498010635376,prep
1.985,150.18118430032854,0.5078258216381073,0.1082166209816932,0.5074397325515747,0.1088118851184845,0.5150352120399475,0.0902465209364891,0.5520625710487366,0.1016519963741302,0.5082119107246399,0.0958642810583114,0.5081442594528198,0.0580376237630844,0.5275196433067322,0.0830277949571609,0.5556390881538391,0.0819471478462219,0.5551288723945618,0.0826548859477043,0.5719267129898071,0.0796780213713646,0.5708991885185242,0.0927442759275436,0.5850476026535034,0.0963963866233825,0.5858709812164307,0.5293682456016541,0.5272385478019714,0.5739492893218994,0.5537881135940552,0.00228096246719367,0.001948940753936812,prep
2.018,147.0614979750605,0.5165112316608429,0.0938997790217399,0.5150390267372131,0.1034310236573219,0.5444965958595276,0.1267561465501785,0.5928183197975159,0.0388030111789703,0.5179834365844727,0.0155103364959359,0.5457330346107483,0.0277435313910245,0.5839299559593201,0.1056628599762916,0.4728486239910126,0.0093098962679505,0.4710138738155365,0.150097370147705,0.5056994557380676,-0.0308195035904645,0.5016391277313232,0.1508047133684158,0.5447978377342224,-0.0414045713841915,0.5295110940933228,0.5327991604804992,0.5306669712066651,0.5785584330558777,0.5588399291038513,0.0034309148788451704,0.0034284234046936257,prep
2.035,152.15458420351627,0.5116190910339355,0.1043677777051925,0.5107191801071167,0.1140413433313369,0.5444867014884949,0.1371912807226181,0.5928160548210144,0.0495293997228145,0.5125190019607544,0.0297963041812181,0.5457770824432373,0.0401536636054515,0.5839365720748901,0.1163449883460998,0.4688368737697601,0.0194117277860641,0.4666399657726288,0.1607899069786071,0.4998990893363952,-0.0246107373386621,0.4816205203533172,0.1633432060480117,0.5365356802940369,-0.0414052419364452,0.5039530396461487,0.5386328339576721,0.5382778286933899,0.583960211277008,0.5726248502731324,0.005833673477172896,0.0076108574867248535,prep
2.052,155.3922004364308,0.5080329179763794,0.1177216544747352,0.5074864625930786,0.1294285207986831,0.5445563197135925,0.1527587175369262,0.5912198424339294,0.0631386786699295,0.5085793733596802,0.0461235791444778,0.5458913445472717,0.0566163621842861,0.583865225315094,0.1299364566802978,0.4640003442764282,0.0342255048453807,0.461169570684433,0.1753260940313339,0.4919483959674835,-0.0157349556684494,0.4717492163181305,0.1821615248918533,0.5286028385162354,-0.0312236826866865,0.483976662158966,0.544558072090149,0.5457016110420227,0.591667115688324,0.5838921904563904,0.005925238132476807,0.007423782348632835,prep
2.068,154.75161881345207,0.5048421025276184,0.1290271580219268,0.5042191743850708,0.1440383046865463,0.5445893406867981,0.1693300455808639,0.590884268283844,0.0752909481525421,0.505465030670166,0.0591717734932899,0.5458434224128723,0.0732205361127853,0.5838728547096252,0.1406417042016983,0.4549364447593689,0.0442983992397785,0.4535650312900543,0.1891276687383651,0.4780742228031158,-0.0057443268597126,0.462622731924057,0.2011028230190277,0.5137038826942444,-0.0158784016966819,0.4762902557849884,0.5443480730056762,0.5453134298324585,0.5911661982536316,0.583877432346344,-0.00020999908447272286,-0.0003881812095642978,prep
2.085,154.38306414710036,0.5008666813373566,0.1419419646263122,0.500203549861908,0.1573542952537536,0.5446614027023315,0.1842653155326843,0.5905970931053162,0.0877924561500549,0.5015298128128052,0.0729463696479797,0.5452631711959839,0.0878299698233604,0.5838563442230225,0.1518751829862594,0.4469580948352813,0.0571629256010055,0.446497768163681,0.2043161392211914,0.4685901701450348,0.0036665401421487,0.4526588022708893,0.2180426120758056,0.5022615194320679,-0.0062503986991941,0.4583297073841095,0.5438901662826539,0.5447227001190186,0.5905229091644287,0.5838296294212342,-0.0004579067230223721,-0.0005907297134398748,prep
